iter	Passed	Remaining
684	840	386
685	841	385
686	842	384
687	843	382
688	845	381
689	846	380
690	848	379
691	849	377
692	850	376
693	851	375
694	852	374
695	853	372
696	854	371
697	855	370
698	856	368
699	857	367
700	858	365
701	859	364
702	860	363
703	861	362
704	863	361
705	864	359
706	865	358
707	866	357
708	867	356
709	868	354
710	869	353
711	870	352
712	871	350
713	872	349
714	873	348
715	874	346
716	875	345
717	877	344
718	878	343
719	879	342
720	880	340
721	881	339
722	882	338
723	883	336
724	884	335
725	885	334
726	886	332
727	887	331
728	888	330
729	890	329
730	891	328
731	892	326
732	893	325
733	894	324
734	896	323
735	897	321
736	898	320
737	899	319
738	900	317
739	901	316
740	902	315
741	903	314
742	904	312
743	905	311
744	907	310
745	908	309
746	909	308
747	911	306
748	912	305
749	913	304
750	914	303
751	915	301
752	916	300
753	917	299
754	918	297
755	919	296
756	920	295
757	921	294
758	923	293
759	924	292
760	926	290
761	927	289
762	928	288
763	929	287
764	931	286
765	932	284
766	933	283
767	934	282
768	936	281
769	938	280
770	939	278
771	940	277
772	941	276
773	942	275
774	943	273
775	944	272
776	946	271
777	947	270
778	948	269
779	949	267
780	950	266
781	953	265
782	954	264
783	956	263
784	957	262
785	958	260
786	959	259
787	960	258
788	961	257
789	962	255
790	963	254
791	965	253
792	967	252
793	968	251
794	969	249
795	970	248
796	971	247
797	972	246
798	973	244
799	974	243
800	975	242
801	976	241
802	977	239
803	978	238
804	979	237
805	981	236
806	982	234
807	983	233
808	984	232
809	985	231
810	986	229
811	987	228
812	988	227
813	989	226
814	990	224
815	991	223
816	992	222
817	993	221
818	995	219
819	996	218
820	998	217
821	999	216
822	1000	215
823	1001	213
824	1002	212
825	1003	211
826	1004	210
827	1005	208
828	1006	207
829	1007	206
830	1009	205
831	1010	204
832	1012	202
833	1013	201
834	1014	200
835	1016	199
836	1017	198
837	1018	196
838	1019	195
839	1020	194
840	1021	193
841	1023	191
842	1024	190
843	1026	189
844	1027	188
845	1028	187
846	1029	185
847	1030	184
848	1031	183
849	1033	182
850	1034	181
851	1035	179
852	1036	178
853	1037	177
854	1038	176
855	1040	174
856	1041	173
857	1043	172
858	1044	171
859	1045	170
860	1046	168
861	1047	167
862	1049	166
863	1050	165
864	1051	164
865	1052	162
866	1053	161
867	1054	160
868	1056	159
869	1058	158
870	1059	156
871	1060	155
872	1061	154
873	1062	153
874	1063	151
875	1064	150
876	1065	149
877	1066	148
878	1067	147
879	1068	145
880	1070	144
881	1071	143
882	1072	142
883	1073	140
884	1074	139
885	1075	138
886	1076	137
887	1077	135
888	1078	134
889	1079	133
890	1080	132
891	1081	130
892	1082	129
893	1083	128
894	1085	127
895	1087	126
896	1088	124
897	1089	123
898	1089	122
899	1090	121
900	1091	119
901	1093	118
902	1094	117
903	1095	116
904	1096	115
905	1097	113
906	1098	112
907	1099	111
908	1100	110
909	1102	109
910	1103	107
911	1104	106
912	1105	105
913	1106	104
914	1107	102
915	1109	101
916	1110	100
917	1111	99
918	1112	98
919	1113	96
920	1114	95
921	1115	94
922	1116	93
923	1117	91
924	1118	90
925	1119	89
926	1120	88
927	1122	87
928	1123	85
929	1124	84
930	1125	83
931	1126	82
932	1127	80
933	1128	79
934	1129	78
935	1130	77
936	1132	76
937	1133	74
938	1134	73
